Word,True POS,Predicted POS
ইনট,noun,noun
লাখূটি,noun,noun
যূকিয়া,root verb,root verb
ভটা,noun,noun
তছৰ,noun,adjective
সমাহিক,adjective,adjective
ক্ষূব্ধতা,noun,adjective
কচ্‌কচা,root verb,root verb
পইছা,noun,noun
একাঁঠু,adjective,adjective
শিকা,root verb,noun
থূম,noun,noun
জকা,noun,noun
অনিল,noun,noun
হে,preposition,preposition
ঘন,noun,noun
ভৰি,noun,noun
একসিৰা,noun,adjective
লাচ খা,root verb,root verb
ঐৰাৱত,noun,adjective
খ্যাত,adjective,noun
একদম,adjective,noun
একতাল,noun,noun
খৰিচা,noun,noun
দইল,noun,noun
সমাজ,noun,adjective
থলী,noun,noun
ৰেং,noun,noun
আদা,noun,noun
ক্ষালিত,noun,adjective
লং,noun,noun
থাপনা,noun,noun
চগা,noun,adjective
টূকিয়া,root verb,root verb
অপচয়,noun,adjective
ইমানতে,adverb,adverb
শৰণাগত,adjective,noun
ক্ষৰণ,noun,noun
ফেৰফেৰা,root verb,adjective
কফি,noun,noun
ধৰমী,adjective,noun
ককা,noun,noun
ঘোল্‌,root verb,root verb
ৰট্‌,root verb,root verb
ৰীতি,noun,noun
ঘূৰি,noun,noun
ৰহ্‌,root verb,root verb
খোঁচৰ,adjective,noun
অধৰ,noun,adjective
একাদশ,noun,noun
অপসৰণ,noun,noun
লায়ক,adjective,noun
ঘৰ কৰ্‌,root verb,root verb
বছৰি,adverb,noun
ওখোৰা-মোখোৰা,adjective,noun
গিলাচ,noun,noun
আঁট্,root verb,root verb
তুমি,pronoun,noun
ঘাম,noun,noun
ক্ষয়,noun,noun
বনাম,preposition,noun
উচটনি,adjective,noun
ঘৰ,noun,noun
ডাং,noun,noun
জমা,root verb,noun
চপা,root verb,root verb
তোমাৰ,pronoun,noun
ঘোচ,noun,noun
আখৰ,noun,noun
শিষ্য,noun,noun
আদৰ,noun,noun
বইট্‌,root verb,root verb
ক্ষেমঙ্কৰ,adjective,noun
উঃ,preposition,noun
টূপ,noun,noun
লাদ্,root verb,noun
খেজাল,root verb,adjective
কাম,noun,noun
ওনা-ওনে,adverb,adverb
ফব্ফ‌ৰা,adverb,noun
খতম,noun,noun
নকৈ,adverb,noun
আক্ষেপ,noun,noun
একাঠী,adjective,adjective
ওড়,noun,noun
যাঠি,noun,adjective
একবাক্যে,adverb,noun
চকলিয়া,root verb,root verb
মাজে মাজে,adverb,adverb
কিমান,adjective,noun
ডালি,noun,noun
ক্ষিপ্ৰ,adjective,noun
দগা,noun,noun
যথাক্ৰমে,adverb,noun
তৰল,adjective,noun
পৰিমিক,adjective,adjective
খপিয়া,root verb,root verb
ৰেচম,noun,noun
একনিষ্ঠ,adjective,noun
মহাজন,noun,adjective
খঙাল,adjective,noun
তীৰ,noun,noun
ডোবা,noun,adjective
অক্ষ‍ি,noun,noun
যূথ,noun,noun
ঘাত,noun,root verb
কেই,pronoun,pronoun
বননি,noun,noun
নফৰ,noun,noun
ক্ষীৰোদ,noun,noun
গলা,root verb,noun
লগতে,adverb,adverb
শাপ,noun,noun
ওখ,noun,noun
ককাই,noun,noun
ছেল খা,root verb,root verb
ধেনা,adjective,adverb
ক্ষৰিত,adjective,adjective
ওকট-পাকট,noun,adjective
টিক্‌,root verb,root verb
টং কৰ্‌,root verb,root verb
শতৰঞ্চি,noun,noun
টেপা,noun,adverb
যশোদা,noun,noun
আপদ,noun,noun
ইনাম,noun,noun
লূচি,noun,noun
ৰাজভোগ,noun,noun
ঊৰ্ণা,noun,noun
ঘাগৰি,noun,noun
গম্য,adjective,adjective
হাতী,noun,noun
গৰম,noun,noun
খোজ্‌,root verb,root verb
ক্ষীণকায়,adjective,adjective
আইনা,noun,noun
আডৰণ,adjective,noun
উগাৰ্‌,root verb,root verb
ওকট্,root verb,noun
চমূ,noun,noun
ৰোল,noun,noun
শক্তি,adjective,noun
যথোচিত,adjective,noun
ইমানখিনিতে,adverb,adverb
ডকা,noun,noun
একতৰফা,adjective,adjective
মালা,noun,noun
ছাট,noun,root verb
ঠেল্‌,root verb,root verb
ঠিক,adjective,noun
একতাৰা,noun,adjective
যজ্ঞোপবীত,noun,noun
ঘৰে-পৰে,adverb,adverb
লাথি,noun,noun
যাতে তাতে,pronoun,adverb
আঢ্য,adjective,adjective
ডবা,root verb,adjective
ইহাত-সিহাত,adjective,noun
ডাইনেমো,noun,noun
মদন,noun,noun
ডাঁৰ,noun,noun
গতিকে,adverb,noun
ঔদাসীন্য,noun,adjective
গঞা,adjective,noun
শম,noun,noun
ৰোহ,noun,noun
যূগী,noun,noun
উঠা,root verb,noun
যশ,noun,noun
যতেক,adjective,noun
শিখৰ,noun,noun
যজন,noun,noun
শব্দাৰ্থ,noun,noun
শোচনীয়,adjective,noun
শলাগ্‌,root verb,root verb
তৰা,root verb,noun
ৰং,noun,noun
শক্তি,noun,noun
ভগা,root verb,noun
জৰি,noun,noun
উট্‌,root verb,root verb
ক্ষূভিত,adjective,adjective
ৰথ্‌,root verb,root verb
কণিয়া,root verb,root verb
লাল,adjective,noun
