Word,Predicted POS
উদ্যান,noun
শস্যৰ,adjective
বাবে,root verb
মাটি,noun
চহাবলৈ,noun
সাধাৰণতে,adverb
জন্তু,noun
চালিত,noun
বা,root verb
ট্ৰেক্টৰ,noun
বা,root verb
পাৱাৰটিলাৰ,noun
চালিত,noun
এম,noun
বি,noun
নাঙল,noun
কাঁহীযুক্ত,adjective
নাঙল,noun
কাল্টিভেটৰ,noun
হেৰ’,noun
ৰটাভেটৰ,noun
আদি,preposition
ব্যৱহাৰ,noun
কৰা,root verb
হয়,preposition
শস্য,adjective
ৰক্ষাৰ,noun
বাবে,root verb
বিভিন্ন,noun
স্প্ৰেয়াৰ,noun
যেনে,preposition
পিঠিত,adjective
লোৱা,verb
নেপচেক,noun
স্প্ৰেয়াৰ,noun
পদচালিত,noun
স্প্ৰেয়াৰ,noun
ৰকিং,noun
স্প্ৰেয়াৰ,noun
আদি,preposition
স্থানীয়,adjective
খেতিয়কসকলে,pronoun
ব্যৱহাৰ,noun
কৰা,root verb
দেখা,noun
যায়,noun
উদ্যান,noun
শস্যত,adjective
জলসিঞ্চনৰ,noun
বাবে,root verb
সুক্ষ্ম,adjective
জলসিঞ্চন,noun
ড্ৰিপ,noun
আৰু,noun
স্প্ৰিকলাৰ,noun
পাম্পছেট,noun
আদি,preposition
ব্যৱহাৰ,noun
কৰা,root verb
হয়,preposition
অসমত,adjective
উত্পাদনৰ,noun
মাত্ৰা,noun
কমি,noun
থকাৰ,noun
প্ৰধান,noun
কাৰণ,noun
হৈছে,verb
ইয়াত,noun
ট্ৰেক্টৰৰ,noun
বহুল,noun
প্ৰয়োগ,noun
এতিয়াও,noun
হোৱা,noun
নাই,noun
বৰ্তমান,noun
উদ্ভাৱন,noun
হোৱা,noun
প্ৰায়বোৰ,noun
উন্নত,noun
কৃষি,noun
সঁজুলি,adjective
যেনে,preposition
মাটি,noun
চহোৱা,noun
জলসিঞ্চন,noun
বীজ,noun
সিচাঁ,noun
কঠিয়া,noun
ৰোৱা,noun
ঔষধ,noun
চটিওৱা,noun
শস্যকটা,adjective
মৰণা,noun
মৰা,noun
বোজা,root verb
কঢ়িওৱা,noun
গাত,noun
খন্দা,noun
আদিত,adjective
ব্যৱহৃত,adjective
উন্নত,noun
যন্ত্ৰপাতিসমূহ,noun
ট্ৰেক্টৰৰ,noun
সহায়ত,root verb
চলাব,noun
পাৰি,noun
অসমৰP,noun
খেতিয়কসকলে,pronoun
বৰ্তমানেও,adverb
বহুলভাৱে,adverb
ব্যৱহাৰ,noun
কৰা,root verb
মাটি,noun
চহোৱা,noun
সঁজুলিবিধ,adjective
হৈছে,verb
দেশী,noun
নাঙল,noun
যত,adjective
এটা,noun
হেলনীয়া,adjective
কাঠৰ,noun
টুকুৰা,noun
থাকে,noun
যিটো,noun
মাটিত,adjective
লগাই,noun
টানি,noun
নিলে,adverb
মাটিত,adjective
চপৰাৰ,noun
সৃষ্টি,noun
কৰে,noun
আৰু,noun
যেতিয়া,adverb
ইয়াক,noun
চপৰাৰ,noun
মাজেৰে,noun
টানি,noun
নিয়া,noun
হয়,preposition
তেতিয়া,root verb
চপৰাবোৰ,noun
ভাঙি,noun
সৰু,noun
সৰু,noun
মিহি,noun
চপৰাৰ,noun
সৃষ্টি,noun
কৰে,noun
ফলীয়া,adjective
নাঙল,noun
ষ্টিলেৰে,noun
গঠিত,noun
বাবে,root verb
ইয়াক,noun
বহুতে,preposition
লোহাৰ,noun
নাঙল,noun
বুলিও,noun
কয়,noun
আৰু,noun
ইয়াৰ,noun
কাম,noun
হৈছে,verb
সিৰলু,noun
এটা,noun
মাটিৰ,noun
পৰা,root verb
ফাটি,noun
লৈ,noun
যিমানদূৰ,noun
সম্ভৱ,adjective
ইয়াক,noun
ঢিলা,noun
আৰু,noun
গুৰি,noun
কৰি,noun
লুটিয়াই,noun
থৈ,adverb
যোৱা,noun
যাতে,noun
ওপৰৰ,noun
ঘাঁহবনখিনি,noun
পচন,noun
হয়,preposition
লিকটা,adjective
শুকান,noun
আৰু,noun
কঠিন,noun
মাটি,noun
শিল,noun
শিপা,noun
আদিৰে,noun
ভৰি,noun
থকা,adjective
মাটি,noun
আৰু,noun
যেতিয়া,adverb
কিছু,noun
দলৈকে,noun
মাটি,noun
চহাব,noun
লগা,root verb
হয়,preposition
তেতিয়া,root verb
ফলীয়া,adjective
নাঙলৰ,noun
সলনি,noun
ডিস্ক,noun
নাঙল,noun
ব্যৱহাৰ,noun
কৰা,root verb
হয়,preposition
কাল্টিভেটৰ,noun
বা,root verb
টিলাৰ,noun
দ্বিতীয়,adjective
পৰ্য্যায়ৰ,adjective
মাটি,noun
চহোৱাৰ,adjective
বাবে,root verb
প্ৰাথমিক,adjective
চহ,preposition
কৰি,noun
থোৱা,noun
মাটিত,adjective
গজা,root verb
ঘাঁহ,root verb
বন,noun
নাশ,noun
কৰিবলৈ,adverb
আৰু,noun
কেতিয়াবা,noun
নিৰণি,noun
দিবলৈ,adverb
শাৰীকৈ,noun
ৰোৱা,noun
শস্যৰ,adjective
মাজেৰে,noun
চলাবলৈও,noun
ব্যৱহাৰ,noun
কৰা,root verb
হয়,preposition
ট্ৰেডল,noun
পাম্প,noun
হল,noun
ভৰিৰে,noun
চলাব,noun
পৰা,root verb
এবিধ,noun
অতি,noun
কম,noun
খৰচী,noun
দমকল,noun
যাৰ,noun
বাবে,root verb
ক্ষুদ্ৰ,noun
আৰু,noun
উপান্ত,root verb
কৃষকৰ,noun
জলসিঞ্চন,noun
সহজলভ্য,adjective
হয়,preposition
উত্স,preposition
কৃষি,noun
বিজ্ঞান,noun
কেন্দ্ৰ,adjective
শোণিতপুৰ,adjective
অসমত,adjective
উদ্যান,noun
শস্যৰ,adjective
যান্ত্ৰিকী,adjective
কৰণৰ,noun
প্ৰভাৱ,noun
এতিয়াও,noun
পৰা,root verb
নাই,noun
অসমত,adjective
এতিয়াও,noun
উদ্যান,noun
শস্য,adjective
বাণিজ্যিক,adjective
ভিত্তিত,noun
কৰা,root verb
নহয়,noun
গাঁত,noun
খান্দিবলৈ,adjective
পাৱাৰ,noun
টিলাৰ,noun
বা,root verb
ট্ৰেক্টৰ,noun
চালিত,noun
গাত,noun
খন্দা,noun
যন্ত্ৰ,adjective
ব্যৱহাৰ,noun
কৰা,root verb
হয়,preposition
ফলমুলৰ,noun
খেতিত,noun
ট্ৰেক্টৰ,noun
বা,root verb
পাৱাৰ,noun
টিলাৰ,noun
চালিত,noun
চহ,preposition
কৰা,root verb
সঁজুলি,adjective
ব্যৱহাৰ,noun
কৰা,root verb
হয়,preposition
ফলমুলৰ,noun
খেতিত,noun
বনবাত,adjective
আদি,preposition
নিৰাবলৈ,adverb
যন্ত্ৰ,adjective
চালিত,noun
নাঙল,noun
ব্যৱহাৰ,noun
কৰা,root verb
হয়,preposition
শাক,noun
পাচলিৰ,noun
গুটি,noun
দিয়া,noun
যন্ত্ৰও,adjective
উদ্ভাৱন,noun
হৈছে,verb
গছৰ,noun
ডাল,noun
আদি,preposition
চিকুনাবলৈ,adjective
ব্যৱহাৰ,noun
কৰা,root verb
যন্ত্ৰও,adjective
অসমতP,adjective
ব্যৱহাৰ,noun
কৰা,root verb
হয়,preposition
উদ্যান,noun
শস্যত,adjective
জলসিঞ্চনৰ,noun
বাবে,root verb
সুক্ষ্ম,adjective
জলসিঞ্চনৰ,noun
ব্যৱস্থাও,preposition
কৰা,root verb
হয়,preposition
জলসিঞ্চনৰ,noun
ক্ষেত্ৰত,adjective
ড্ৰিপক,noun
স্প্ৰিকলাৰ,noun
জলসিঞ্চন,noun
ব্যৱস্থা,adjective
অতি,noun
উত্তম,adjective
পানীৰ,noun
অপচয়,adjective
ৰোধ,noun
কৰিবলৈ,adverb
জলসিঞ্চনৰ,noun
ব্যৱস্থা,adjective
কৰা,root verb
হয়,preposition
পানী,noun
উঠাবলৈও,adjective
বিভিন্ন,noun
প্ৰকাৰৰ,noun
পাম্পছেট,noun
ব্যৱহাৰ,noun
কৰা,root verb
হয়,preposition
খেতিত,noun
ব্যৱহাৰ,noun
কৰা,root verb
সকলোবোৰ,noun
যন্ত্ৰই,preposition
ট্ৰেক্টৰৰ,noun
সহায়ত,root verb
চলাব,noun
পাৰি,noun
পাৱাৰ,noun
টিলাৰ,noun
ট্ৰেক্টৰৰেই,noun
এটা,noun
ভাগ,noun
এখন,noun
ডাঙৰ,adjective
ট্ৰেক্টৰে,noun
কৰিব,noun
পৰা,root verb
প্ৰায়বোৰ,noun
কামেই,noun
পাৱাৰ,noun
টিলাৰে,noun
কৰিব,noun
পাৰে,noun
পাৱাৰ,noun
টিলাৰে,noun
কৰিব,noun
পৰা,root verb
কামৰ,noun
শক্তিৰ,noun
সীমা,root verb
কিছু,noun
সীমিত,adjective
ক্ষুদ্ৰ,noun
কৃষক,noun
সকলৰ,noun
বাবে,root verb
ই,pronoun
অতি,noun
উত্তম,adjective
আধুনিক,adjective
বহু,noun
উপযোগী,noun
কৃষি,noun
ট্ৰেক্টৰ,noun
এখনৰ,noun
সহায়ত,root verb
কৃষি,noun
কৰ্ম,noun
সমূহ,noun
সুচলভাৱে,adverb
সম্পন্ন,adjective
কৰিবলৈ,adverb
খুটি,noun
নাটি,noun
সমূহ,noun
ভালদৰে,noun
আয়ত্ব,adjective
কৰি,noun
লব,noun
লাগে,adjective
আজিকালি,noun
মাটি,noun
চহ,preposition
কৰা,root verb
বীজ,noun
সিঁচা,noun
আদি,preposition
নানা,noun
সঁজুলি,adjective
উদ্ভাৱন,noun
হৈছে,verb
এই,pronoun
সঁজুলিবোৰ,noun
ট্ৰেক্টৰত,adverb
সংযোগ,noun
কৰি,noun
ললে,noun
ট্ৰেক্টৰ,noun
চলোৱাৰ,noun
সময়ত,adjective
চালকৰ,noun
আসনৰ,root verb
পৰাই,noun
নিয়ন্ত্ৰণ,noun
কৰিব,noun
পৰা,root verb
যায়,noun
জলসিঞ্চনৰ,noun
পাম্প,noun
ধান,noun
বনা,root verb
কল,noun
ধান,noun
মৰা,noun
জেনেৰেটৰ,adjective
কীটনাশক,adjective
দৰৱ,noun
প্ৰয়োগ,noun
কৰা,root verb
আদি,preposition
কামো,noun
ট্ৰেক্টৰখনৰ,noun
সহায়ত,root verb
কৰিব,noun
পাৰি,noun
উত্তৰ,adjective
পূৰ্বাঞ্চলৰ,noun
ৰাজ্যসমূহৰ,noun
ভিতৰত,adjective
অসম,noun
প্ৰাকৃতিক,adjective
সম্পদত,pronoun
চহকী,noun
এই,pronoun
সম্পদসমূহেৰে,adjective
অসমত,adjective
ব্যাপক,noun
পৰিসৰত,noun
সৰু,noun
বৰ,noun
উদ্যোগ,noun
গঢ়ি,noun
তোলাৰ,noun
প্ৰচুৰ,noun
সম্ভাৱনা,noun
আছে,preposition
কিন্তু,adjective
বৰ্তমানেও,adverb
ভাৰতৰP,noun
অন্যান্য,adjective
ৰাজ্যবোৰৰ,noun
তুলনাত,noun
অসমৰ,noun
ঔদ্যোগিক,noun
গাঁথনি,noun
দুৰ্বল,noun
এক,noun
শতিকাৰো,noun
পূৰ্বেই,noun
অসমতP,adjective
ঔদ্যোগিকৰণৰ,adjective
পাতনি,noun
মেলা,noun
হৈছিল,noun
যদিও,noun
ইয়াত,noun
আজিও,preposition
উল্লেখযোগ্যভাৱে,noun
বৃহৎ,noun
